t, y
0.000000,1.000000
0.100000,0.900000
0.200000,0.810000
0.300000,0.729000
0.400000,0.656100
0.500000,0.590490
0.600000,0.531441
0.700000,0.478297
0.800000,0.430467
0.900000,0.387420
1.000000,0.348678
1.100000,0.313811
1.200000,0.282430
1.300000,0.254187
1.400000,0.228768
1.500000,0.205891
1.600000,0.185302
1.700000,0.166772
1.800000,0.150095
1.900000,0.135085
2.000000,0.121577
2.100000,0.109419
2.200000,0.098477
2.300000,0.088629
2.400000,0.079766
2.500000,0.071790
2.600000,0.064611
2.700000,0.058150
2.800000,0.052335
2.900000,0.047101
3.000000,0.042391
3.100000,0.038152
3.200000,0.034337
3.300000,0.030903
3.400000,0.027813
3.500000,0.025032
3.600000,0.022528
3.700000,0.020276
3.800000,0.018248
3.900000,0.016423
4.000000,0.014781
